epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.858,1.07189,2.55743,1.53297,0.10203,0.21172,0.10152,0.06504,1.30928,5.12103,1.80722,0.000237029,0.000237029,0.000237029
2,389.876,1.30526,2.47926,1.71282,0.17891,0.20184,0.07062,0.04231,1.46593,5.42652,1.94282,0.000465623,0.000465623,0.000465623
3,562.073,1.34298,2.49381,1.75107,0.23036,0.20669,0.10554,0.06531,1.48098,3.25226,1.91788,0.000684793,0.000684793,0.000684793
4,735.556,1.29106,2.39746,1.71288,0.26061,0.20237,0.11516,0.07461,1.31706,3.38827,1.78787,0.000671588,0.000671588,0.000671588
5,908.487,1.21906,2.2833,1.65943,0.32464,0.23543,0.16589,0.10916,1.23095,2.46229,1.69774,0.000657451,0.000657451,0.000657451
6,1080.75,1.17698,2.21398,1.63478,0.35112,0.24906,0.21137,0.148,1.17264,2.58199,1.65251,0.000643314,0.000643314,0.000643314
7,1250.41,1.14936,2.15011,1.6114,0.28224,0.30657,0.22272,0.15037,1.13026,2.18015,1.60875,0.000629177,0.000629177,0.000629177
8,1420.57,1.11362,2.07952,1.57773,0.31377,0.28655,0.21036,0.14146,1.14254,2.22455,1.6121,0.00061504,0.00061504,0.00061504
9,1589.95,1.08135,2.03844,1.55882,0.40904,0.28897,0.27613,0.19473,1.07168,2.1207,1.56703,0.000600902,0.000600902,0.000600902
10,1759.12,1.05659,1.96622,1.52813,0.4407,0.32059,0.31711,0.22798,1.04746,2.00104,1.53973,0.000586765,0.000586765,0.000586765
11,1928.82,1.03514,1.94609,1.52069,0.39516,0.31797,0.2822,0.21132,0.98867,2.01765,1.49714,0.000572628,0.000572628,0.000572628
12,2097.75,1.00989,1.89566,1.49795,0.41856,0.34146,0.30906,0.22706,1.00478,2.02509,1.49846,0.000558491,0.000558491,0.000558491
13,2267.16,1.00248,1.85057,1.48889,0.42911,0.36231,0.33108,0.24757,0.95573,1.86924,1.47242,0.000544354,0.000544354,0.000544354
14,2437.48,0.97951,1.82625,1.47745,0.49002,0.36231,0.37005,0.28172,0.97375,1.86496,1.47376,0.000530216,0.000530216,0.000530216
15,2607.64,0.96973,1.7982,1.4694,0.45794,0.32096,0.33995,0.25947,0.93633,1.84086,1.44881,0.000516079,0.000516079,0.000516079
16,2777.08,0.94605,1.75817,1.44876,0.3855,0.37397,0.32721,0.24855,0.94203,1.98411,1.45436,0.000501942,0.000501942,0.000501942
17,2946.65,0.94491,1.72602,1.44777,0.42502,0.37051,0.3564,0.26995,0.95499,1.84671,1.46212,0.000487805,0.000487805,0.000487805
18,3116.25,0.92166,1.68225,1.42893,0.48966,0.3286,0.35704,0.26772,0.9321,1.83827,1.43439,0.000473668,0.000473668,0.000473668
19,3284.98,0.91993,1.66472,1.42612,0.50656,0.384,0.40656,0.3153,0.92891,1.78811,1.44361,0.00045953,0.00045953,0.00045953
20,3454.33,0.89612,1.63367,1.40806,0.50373,0.39879,0.39917,0.30835,0.89622,1.75983,1.41407,0.000445393,0.000445393,0.000445393
21,3623.42,0.89506,1.60189,1.40991,0.49421,0.39697,0.42649,0.32501,0.86912,1.70038,1.394,0.000431256,0.000431256,0.000431256
22,3793.03,0.88504,1.58086,1.39529,0.56153,0.39002,0.43046,0.33965,0.86965,1.68234,1.39,0.000417119,0.000417119,0.000417119
23,3962.99,0.85971,1.52852,1.37651,0.54736,0.43562,0.45927,0.36945,0.8493,1.61878,1.37447,0.000402982,0.000402982,0.000402982
24,4132.97,0.85517,1.50529,1.37213,0.55406,0.41766,0.46191,0.3707,0.84631,1.66045,1.37101,0.000388844,0.000388844,0.000388844
25,4302.64,0.84442,1.47818,1.36715,0.55054,0.45228,0.48033,0.38644,0.8316,1.62319,1.35343,0.000374707,0.000374707,0.000374707
26,4472.48,0.83101,1.45072,1.35145,0.56133,0.39962,0.43993,0.34769,0.8741,1.65361,1.38965,0.00036057,0.00036057,0.00036057
27,4642.12,0.83015,1.42112,1.34846,0.54809,0.44439,0.47474,0.38077,0.83336,1.60224,1.35883,0.000346433,0.000346433,0.000346433
28,4811.55,0.82542,1.43776,1.34808,0.52962,0.48018,0.49507,0.40063,0.82083,1.59115,1.353,0.000332296,0.000332296,0.000332296
29,4980.9,0.79546,1.37146,1.32055,0.55304,0.44062,0.46369,0.37701,0.81239,1.58999,1.35359,0.000318158,0.000318158,0.000318158
30,5149.59,0.79848,1.34957,1.32642,0.60893,0.45137,0.50914,0.4191,0.80628,1.55249,1.34449,0.000304021,0.000304021,0.000304021
31,5319.61,0.79996,1.37368,1.33376,0.57654,0.46526,0.50533,0.41821,0.805,1.55881,1.34107,0.000289884,0.000289884,0.000289884
32,5488.86,0.77521,1.32014,1.30888,0.58236,0.47745,0.5209,0.42264,0.81095,1.54764,1.34106,0.000275747,0.000275747,0.000275747
33,5658.82,0.77184,1.28362,1.30539,0.58309,0.49867,0.52383,0.43667,0.79386,1.52499,1.33677,0.00026161,0.00026161,0.00026161
