fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,box,cls,hsv_s,hsv_v,scale,translate,fliplr,flipud,mosaic,mixup
0.14508,0.01,0.01,0.937,0.0005,3.0,7.5,0.5,0.7,0.4,0.5,0.1,0.5,0.0,1.0,0.0
0.1148,0.01,0.01,0.98,0.00055,3.0,7.5,0.37212,0.7,0.4,0.3648,0.0973,0.33703,0.0,1.0,0.0
0.13173,0.01,0.01,0.937,0.0005,3.0,7.5,0.5,0.7,0.40752,0.44938,0.1,0.5,0.0,1.0,0.0
0.13148,0.01,0.01029,0.937,0.00051,3.0,7.5,0.52036,0.7,0.40885,0.44638,0.1,0.68387,0.0,1.0,0.0
0.13363,0.01,0.01008,0.937,0.00051,3.0,8.09517,0.62851,0.7,0.409,0.45488,0.1,0.64783,0.0,1.0,0.0
0.11619,0.01,0.01429,0.7,0.00058,2.4726,7.5,0.51832,0.62944,0.5019,0.4425,0.1,0.61431,0.0,1.0,0.0
0.11861,0.01,0.01,0.937,0.0005,3.0,8.13942,0.45964,0.7,0.36115,0.40588,0.13911,0.59673,0.0,0.93858,0.0
0.1409,0.01,0.01016,0.937,0.00051,3.0,5.21113,0.53152,0.7,0.34323,0.48987,0.1,0.61318,0.0,1.0,0.0
0.14194,0.01,0.01,0.937,0.00057,2.50179,4.62155,0.50561,0.7,0.32032,0.5194,0.10892,0.57847,0.0,1.0,0.0
0.12388,0.01,0.01468,0.79319,0.00051,2.572,7.87105,0.51405,0.61796,0.35015,0.56808,0.11117,0.47647,0.0,1.0,0.0
0.12864,0.01,0.01029,0.7,0.00054,2.80788,5.26749,0.53586,0.63879,0.41045,0.42101,0.07968,0.73005,0.0,0.96537,0.0
