epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.409,1.06093,2.2439,1.50225,0.35419,0.23832,0.18548,0.11804,1.20466,2.8344,1.69065,0.000237659,0.000237659,0.000237659
2,937.925,1.19284,2.17878,1.62309,0.37335,0.22571,0.16223,0.10686,1.27127,2.55592,1.74288,0.000466241,0.000466241,0.000466241
3,1394.31,1.17851,2.14198,1.61723,0.34745,0.30071,0.25032,0.1791,1.13585,2.26115,1.62164,0.000685398,0.000685398,0.000685398
4,1848.54,1.11887,2.0152,1.56914,0.32758,0.3387,0.26386,0.19127,1.05961,2.04264,1.55166,0.000671588,0.000671588,0.000671588
5,2302.16,1.05425,1.88409,1.51921,0.45293,0.32579,0.32821,0.24549,1.00081,2.04771,1.5059,0.000657451,0.000657451,0.000657451
6,2755.82,1.01873,1.79318,1.48912,0.46618,0.36617,0.3718,0.27883,0.97082,1.91233,1.48835,0.000643314,0.000643314,0.000643314
7,3210.91,0.96964,1.70165,1.45096,0.47773,0.38211,0.39586,0.30703,0.93826,1.78776,1.45504,0.000629177,0.000629177,0.000629177
8,3663.45,0.94472,1.62134,1.42857,0.50262,0.40682,0.41639,0.32995,0.89837,1.72538,1.42399,0.00061504,0.00061504,0.00061504
9,4118.22,0.91547,1.56396,1.40942,0.51853,0.40267,0.41462,0.33423,0.87561,1.69952,1.39466,0.000600902,0.000600902,0.000600902
10,4573.07,0.89445,1.51451,1.3925,0.57958,0.41154,0.45893,0.36754,0.86123,1.63492,1.38009,0.000586765,0.000586765,0.000586765
11,5025.46,0.87822,1.45455,1.37624,0.55731,0.438,0.46764,0.379,0.85323,1.62355,1.36695,0.000572628,0.000572628,0.000572628
12,5478.06,0.85154,1.39502,1.35536,0.63717,0.41194,0.49334,0.40105,0.82351,1.56342,1.35958,0.000558491,0.000558491,0.000558491
13,5931.32,0.83617,1.34588,1.34096,0.57064,0.46539,0.49979,0.40952,0.82456,1.5696,1.35221,0.000544354,0.000544354,0.000544354
14,6385.31,0.82479,1.31286,1.33288,0.66084,0.4183,0.49406,0.40575,0.808,1.56587,1.35017,0.000530216,0.000530216,0.000530216
15,6837.75,0.80966,1.25666,1.31882,0.63309,0.43309,0.50344,0.41325,0.81599,1.55915,1.35783,0.000516079,0.000516079,0.000516079
16,7290.47,0.79434,1.21873,1.30162,0.61082,0.47626,0.52829,0.43864,0.80607,1.53247,1.33948,0.000501942,0.000501942,0.000501942
17,7743.44,0.78134,1.17532,1.29063,0.61221,0.46774,0.52091,0.4289,0.79687,1.50657,1.34098,0.000487805,0.000487805,0.000487805
18,8196.14,0.76483,1.12952,1.27622,0.66033,0.46673,0.54782,0.45578,0.78738,1.48078,1.32893,0.000473668,0.000473668,0.000473668
19,8650.85,0.75174,1.0883,1.26731,0.64207,0.48608,0.54646,0.4578,0.78999,1.50724,1.34155,0.00045953,0.00045953,0.00045953
20,9105.37,0.73743,1.05858,1.25657,0.66367,0.47837,0.55065,0.45692,0.79038,1.47818,1.33768,0.000445393,0.000445393,0.000445393
21,9557.01,0.72509,1.01402,1.24908,0.64461,0.47334,0.54231,0.45704,0.78595,1.51211,1.33313,0.000431256,0.000431256,0.000431256
22,10011.1,0.71709,0.97762,1.23657,0.67138,0.46789,0.54816,0.46181,0.7764,1.50045,1.32218,0.000417119,0.000417119,0.000417119
23,10465,0.69974,0.93307,1.22011,0.6198,0.49379,0.54483,0.46088,0.76798,1.52488,1.32401,0.000402982,0.000402982,0.000402982
24,10917,0.69356,0.91213,1.22102,0.63801,0.51199,0.55271,0.46841,0.76617,1.50789,1.32552,0.000388844,0.000388844,0.000388844
25,11370.7,0.68224,0.88031,1.20636,0.6292,0.48948,0.55383,0.46762,0.76261,1.50287,1.3208,0.000374707,0.000374707,0.000374707
26,11823.5,0.67092,0.84665,1.19831,0.62891,0.48915,0.53952,0.45366,0.75603,1.51482,1.30679,0.00036057,0.00036057,0.00036057
27,12275.1,0.65603,0.81035,1.18726,0.61516,0.51196,0.55505,0.46651,0.77686,1.52049,1.33859,0.000346433,0.000346433,0.000346433
28,12727.2,0.64274,0.7845,1.17698,0.63489,0.52765,0.56939,0.48345,0.7718,1.53591,1.34782,0.000332296,0.000332296,0.000332296
29,13179.4,0.63824,0.76856,1.17137,0.62731,0.50959,0.56039,0.47781,0.77332,1.5476,1.34341,0.000318158,0.000318158,0.000318158
30,13631.5,0.62664,0.74346,1.16169,0.67112,0.50448,0.56716,0.48471,0.77259,1.5634,1.34457,0.000304021,0.000304021,0.000304021
31,14084.1,0.62256,0.73095,1.15996,0.6712,0.50017,0.56156,0.47904,0.76689,1.57345,1.3415,0.000289884,0.000289884,0.000289884
32,14535.6,0.6159,0.71011,1.15131,0.70571,0.47516,0.56155,0.47787,0.77232,1.55718,1.35066,0.000275747,0.000275747,0.000275747
33,14987.3,0.60435,0.68048,1.13966,0.69241,0.49464,0.556,0.47307,0.77864,1.60395,1.353,0.00026161,0.00026161,0.00026161
34,15440.1,0.59694,0.66178,1.13624,0.65625,0.49975,0.55411,0.47181,0.76859,1.5782,1.35062,0.000247472,0.000247472,0.000247472
35,15891.4,0.58525,0.64377,1.12955,0.67613,0.49382,0.55623,0.47955,0.78156,1.61481,1.36709,0.000233335,0.000233335,0.000233335
36,16343.3,0.57692,0.62123,1.12097,0.69737,0.48526,0.56134,0.48274,0.77883,1.59699,1.36897,0.000219198,0.000219198,0.000219198
37,16794.9,0.57154,0.60777,1.11419,0.66838,0.50133,0.55312,0.4719,0.7833,1.6283,1.36893,0.000205061,0.000205061,0.000205061
38,17247.8,0.55965,0.58471,1.10236,0.6842,0.49557,0.55662,0.4789,0.77322,1.6302,1.35675,0.000190924,0.000190924,0.000190924
39,17702.1,0.55249,0.57332,1.09993,0.64027,0.52372,0.55962,0.48229,0.77151,1.61413,1.36045,0.000176786,0.000176786,0.000176786
40,18154.3,0.55135,0.56397,1.09858,0.66498,0.52479,0.5566,0.479,0.77798,1.62489,1.37233,0.000162649,0.000162649,0.000162649
41,18607.3,0.45624,0.43455,1.00572,0.6901,0.49136,0.55296,0.4765,0.77832,1.65759,1.38219,0.000148512,0.000148512,0.000148512
42,19058.1,0.43853,0.40164,0.99106,0.67407,0.50304,0.54149,0.46922,0.76555,1.66242,1.37899,0.000134375,0.000134375,0.000134375
43,19509,0.43204,0.38486,0.98151,0.65337,0.50062,0.54817,0.4739,0.77477,1.68072,1.39013,0.000120238,0.000120238,0.000120238
44,19959.7,0.42349,0.36796,0.97669,0.68818,0.485,0.55019,0.4745,0.77648,1.69011,1.39245,0.0001061,0.0001061,0.0001061
45,20410.5,0.41612,0.35576,0.96661,0.6946,0.48367,0.54903,0.4715,0.77947,1.71219,1.39447,9.19632e-05,9.19632e-05,9.19632e-05
