epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.123,1.10469,2.31534,1.55738,0.26522,0.28248,0.18401,0.12337,1.21373,2.65751,1.68898,0.000237658,0.000237658,0.000237658
2,930.9,1.23675,2.27073,1.67074,0.23043,0.2365,0.15553,0.10376,1.25285,2.66004,1.72956,0.00046624,0.00046624,0.00046624
3,1384.07,1.22499,2.26638,1.67455,0.30516,0.31388,0.21595,0.14976,1.13876,2.33907,1.63584,0.000685397,0.000685397,0.000685397
4,1835.71,1.15971,2.13352,1.62121,0.38022,0.3111,0.25834,0.18345,1.085,2.34083,1.57278,0.000671588,0.000671588,0.000671588
5,2286.48,1.102,2.0132,1.57275,0.39069,0.36107,0.32571,0.24136,0.98682,1.94786,1.49501,0.000657451,0.000657451,0.000657451
6,2738.18,1.05498,1.91513,1.53982,0.42635,0.36492,0.3521,0.27039,0.96443,1.8492,1.46769,0.000643314,0.000643314,0.000643314
7,3188.65,1.02574,1.83317,1.51078,0.44044,0.39504,0.37354,0.28282,0.95646,1.84974,1.47115,0.000629177,0.000629177,0.000629177
8,3639.1,0.991,1.76811,1.48678,0.50465,0.40887,0.41725,0.32734,0.91355,1.75044,1.43219,0.00061504,0.00061504,0.00061504
9,4089.42,0.96857,1.69874,1.46661,0.46375,0.41784,0.40935,0.32452,0.88476,1.72173,1.40344,0.000600902,0.000600902,0.000600902
10,4541.88,0.94478,1.64044,1.44742,0.54057,0.43804,0.44924,0.35879,0.86436,1.65632,1.40157,0.000586765,0.000586765,0.000586765
11,4994.21,0.92853,1.59564,1.43072,0.52713,0.43786,0.46383,0.37191,0.84491,1.64529,1.37023,0.000572628,0.000572628,0.000572628
12,5445.44,0.90736,1.54173,1.41832,0.60041,0.4413,0.48127,0.38199,0.8411,1.58124,1.36637,0.000558491,0.000558491,0.000558491
13,5897.32,0.89025,1.50413,1.4047,0.58092,0.42629,0.47113,0.38177,0.83057,1.57196,1.37165,0.000544354,0.000544354,0.000544354
14,6346.84,0.88303,1.47124,1.39837,0.56945,0.4761,0.50009,0.40746,0.82424,1.55434,1.35969,0.000530216,0.000530216,0.000530216
15,6797.86,0.86558,1.41793,1.38356,0.61562,0.44341,0.50234,0.40572,0.80743,1.50692,1.34822,0.000516079,0.000516079,0.000516079
16,7248.04,0.85,1.38456,1.36731,0.60001,0.44903,0.50691,0.41145,0.81505,1.51492,1.36031,0.000501942,0.000501942,0.000501942
17,7701.04,0.83537,1.34252,1.35727,0.61179,0.48332,0.52438,0.42905,0.78869,1.49117,1.34107,0.000487805,0.000487805,0.000487805
18,8150.95,0.82117,1.29506,1.33803,0.64563,0.45601,0.51775,0.4283,0.78299,1.49003,1.32849,0.000473668,0.000473668,0.000473668
19,8601.58,0.80671,1.25884,1.33158,0.6461,0.46848,0.51974,0.43089,0.78847,1.47728,1.32513,0.00045953,0.00045953,0.00045953
20,9054.43,0.79915,1.21949,1.32097,0.64279,0.46279,0.51717,0.42894,0.78242,1.47365,1.31809,0.000445393,0.000445393,0.000445393
21,9503.36,0.78134,1.16889,1.30818,0.63124,0.49125,0.53068,0.44044,0.77008,1.46047,1.31699,0.000431256,0.000431256,0.000431256
22,9954.73,0.76986,1.14942,1.29975,0.59846,0.48046,0.52366,0.43677,0.77335,1.49739,1.33396,0.000417119,0.000417119,0.000417119
23,10404.1,0.76995,1.11099,1.29742,0.59972,0.49754,0.52752,0.43836,0.77267,1.45664,1.32103,0.000402982,0.000402982,0.000402982
24,10853.2,0.75272,1.08612,1.28574,0.62852,0.49598,0.53175,0.44453,0.76872,1.49725,1.31776,0.000388844,0.000388844,0.000388844
25,11303.3,0.74283,1.04879,1.2731,0.64469,0.48241,0.53108,0.4484,0.76167,1.48173,1.32593,0.000374707,0.000374707,0.000374707
26,11755,0.73138,1.01758,1.26426,0.68129,0.46886,0.53171,0.4466,0.75858,1.44975,1.3151,0.00036057,0.00036057,0.00036057
27,12205.3,0.7244,0.98486,1.25555,0.67638,0.46788,0.52999,0.44623,0.77564,1.48976,1.33054,0.000346433,0.000346433,0.000346433
28,12656.6,0.71078,0.94679,1.24786,0.66035,0.49941,0.53742,0.45291,0.75792,1.49054,1.31391,0.000332296,0.000332296,0.000332296
29,13106.9,0.70518,0.92212,1.24189,0.67656,0.48347,0.54206,0.45969,0.75493,1.48412,1.31798,0.000318158,0.000318158,0.000318158
30,13557.2,0.69334,0.90216,1.23087,0.63935,0.50017,0.53495,0.45128,0.76303,1.50878,1.3283,0.000304021,0.000304021,0.000304021
31,14006.7,0.68194,0.86731,1.2241,0.64943,0.50508,0.54821,0.46254,0.75085,1.51638,1.31995,0.000289884,0.000289884,0.000289884
32,14457.8,0.67276,0.84335,1.21459,0.63988,0.50157,0.54325,0.46144,0.74966,1.50967,1.31738,0.000275747,0.000275747,0.000275747
33,14909.7,0.66479,0.81256,1.20576,0.65256,0.48065,0.53411,0.45127,0.76197,1.52854,1.3324,0.00026161,0.00026161,0.00026161
34,15359.9,0.65578,0.78719,1.1966,0.66963,0.48427,0.5373,0.45515,0.75888,1.52428,1.32333,0.000247472,0.000247472,0.000247472
35,15808.7,0.6517,0.77878,1.19425,0.64196,0.48839,0.53252,0.44809,0.76805,1.55294,1.34004,0.000233335,0.000233335,0.000233335
36,16257.6,0.64069,0.75058,1.18666,0.64984,0.48753,0.53226,0.45192,0.75645,1.56984,1.33512,0.000219198,0.000219198,0.000219198
37,16708.8,0.63533,0.73708,1.1825,0.71486,0.47079,0.53372,0.45235,0.7702,1.56525,1.34659,0.000205061,0.000205061,0.000205061
38,17159.6,0.62521,0.71627,1.17035,0.68282,0.47894,0.53512,0.45517,0.75591,1.55457,1.33345,0.000190924,0.000190924,0.000190924
39,17609.5,0.61084,0.69204,1.16219,0.65847,0.49201,0.5331,0.4548,0.75884,1.5478,1.33543,0.000176786,0.000176786,0.000176786
40,18060.2,0.60727,0.68437,1.15944,0.66755,0.48138,0.52635,0.44733,0.76119,1.56967,1.34058,0.000162649,0.000162649,0.000162649
41,18512,0.52279,0.54743,1.07676,0.66894,0.48206,0.52703,0.44947,0.75068,1.58985,1.3383,0.000148512,0.000148512,0.000148512
42,19157,0.50346,0.50207,1.05562,0.65236,0.49015,0.52425,0.44772,0.75993,1.6093,1.34219,0.000134375,0.000134375,0.000134375
43,19870.5,0.49724,0.4848,1.05007,0.62112,0.51219,0.52706,0.45171,0.76144,1.6132,1.34817,0.000120238,0.000120238,0.000120238
44,20589.6,0.48346,0.45743,1.03573,0.68158,0.46195,0.5206,0.446,0.7613,1.65121,1.35711,0.0001061,0.0001061,0.0001061
